"dma_code","dma_name","state","cenregnm","year","cases","pop","inc","search_ld","search_tb","search_ld_nb_mean","search_tb_nb_mean","elev","elev_nb_mean","dev1","dev1_nb_mean","for1","for3","max_ndvi","for1_nb_mean","for3_nb_mean","max_ndvi_nb_mean","ppt_winter_in","ppt_spring_in","ppt_summer_in","ppt_fall_in","ppt_annual_in","ppt_winter_nb_mean_in","ppt_spring_nb_mean_in","ppt_summer_nb_mean_in","ppt_fall_nb_mean_in","ppt_annual_nb_mean_in","tmean_winter_f","tmean_spring_f","tmean_summer_f","tmean_fall_f","tmean_annual_f","tmean_winter_nb_mean_f","tmean_spring_nb_mean_f","tmean_summer_nb_mean_f","tmean_fall_nb_mean_f","tmean_annual_nb_mean_f","x_km","y_km"
501,"New York, NY","New York","Northeast",2013,5407,21201501,25.50291133,"REDACTED","REDACTED","REDACTED","REDACTED",170.5687549,290.838877,12.4714589,7.2631018,34.69168,7.873449957,0.855885,38.34326776,14.67292306,0.8975064,11.4555655,9.725216,18.178388192,7.3361549,45.575907,10.1659319,9.539255,17.71836932,9.1307999,45.265941,32.0559987,47.61132,71.1478,52.47342,50.42793,29.171409,45.56155,69.08791,49.93304,48.01131,1805.851545,612.6965923
501,"New York, NY","New York","Northeast",2014,5037,21258112,23.69448425,"REDACTED","REDACTED","REDACTED","REDACTED",170.5687549,290.838877,12.4714589,7.2631018,34.69168,7.873449957,0.8542748,38.34326776,14.67292306,0.8966009,12.5551269,12.91753,12.50402404,10.0783691,48.215123,10.6997232,12.4520346,12.92369645,9.7730752,46.060021,26.6252397,46.14393,69.49702,53.03748,49.14792,23.618266,43.76292,67.43158,50.48766,46.65961,1805.851545,612.6965923
501,"New York, NY","New York","Northeast",2015,6569,21296985,30.84474164,"REDACTED","REDACTED","REDACTED","REDACTED",170.5687549,290.838877,12.4714589,7.2631018,34.69168,7.873449957,0.8575342,38.34326776,14.67292306,0.8991943,10.9231476,7.960259,13.515649427,10.6162639,42.915141,9.3560259,8.0851316,14.84324298,9.9264236,42.322125,25.70303,47.58089,70.52369,55.75777,50.5849,22.414295,45.38713,68.28046,53.41416,48.07975,1805.851545,612.6965923
501,"New York, NY","New York","Northeast",2016,5706,21309976,26.77619158,"REDACTED","REDACTED","REDACTED","REDACTED",170.5687549,290.838877,12.4714589,7.2631018,34.69168,7.873449957,0.8583417,38.34326776,14.67292306,0.8999925,12.2575341,7.90501,11.558519984,8.4983378,39.701152,11.2357375,8.4966338,11.4913137,9.0269122,39.686143,35.171926,49.91129,72.13796,54.96626,52.11094,32.393839,47.47672,70.1827,52.78157,49.75948,1805.851545,612.6965923
501,"New York, NY","New York","Northeast",2017,6784,21298292,31.85231943,"REDACTED","REDACTED","REDACTED","REDACTED",170.5687549,290.838877,12.4714589,7.2631018,34.69168,7.873449957,0.8590177,38.34326776,14.67292306,0.8967749,10.3714897,14.84214,12.623576639,9.6163496,45.458872,9.9433625,14.8474597,14.13122344,9.4674785,46.7782,33.8390001,48.11563,69.72894,55.44562,51.50542,31.179384,46.16065,67.7758,53.07774,49.24026,1805.851545,612.6965923
501,"New York, NY","New York","Northeast",2018,5358,21256025,25.20697073,"REDACTED","REDACTED","REDACTED","REDACTED",170.5687549,290.838877,12.4714589,7.2631018,34.69168,7.873449957,0.8509092,38.34326776,14.67292306,0.8884716,11.4576282,14.03069,17.275865635,21.5809446,67.541999,10.6134514,12.2776613,17.72769663,20.1321757,62.688771,29.866822,47.34838,71.89738,53.24403,50.97481,26.966043,45.25941,69.95651,50.83584,48.66144,1805.851545,612.6965923
501,"New York, NY","New York","Northeast",2019,4770,21196944,22.50324386,"REDACTED","REDACTED","REDACTED","REDACTED",170.5687549,290.838877,12.4714589,7.2631018,34.69168,7.873449957,0.8366318,38.34326776,14.67292306,0.8763247,14.1711058,15.57356,13.801276435,11.09099,55.47659,12.471697,14.2809791,13.75209525,11.9696695,53.208171,30.8903317,48.4393,71.30927,52.89567,50.71615,27.796796,46.183,69.12235,50.38652,48.23499,1805.851545,612.6965923
502,"Binghamton, NY","New York","Northeast",2011,116,348004,33.3329502,"REDACTED","REDACTED","REDACTED","REDACTED",471.5528504,356.988447,4.5750341,6.0441421,45.30551,18.876171972,0.9171873,39.18590833,12.89257603,0.8979714,8.507752,19.74206,15.967789506,18.8944292,63.850368,9.4259304,18.6812909,15.60389595,17.4275422,61.156374,20.5784447,44.21252,66.79502,50.91299,46.39832,21.903533,45.39356,68.30776,51.96373,47.61357,1667.873099,713.9814831
502,"Binghamton, NY","New York","Northeast",2012,118,346043,34.09980841,"REDACTED","REDACTED","REDACTED","REDACTED",471.5528504,356.988447,4.5750341,6.0441421,45.30551,18.876171972,0.9174311,39.18590833,12.89257603,0.8985737,7.4434851,9.67622,11.195717093,10.167147,40.455411,8.0295672,9.4907015,10.40332695,11.0697157,41.174095,28.8305144,48.33242,66.74402,47.84922,47.95674,29.779154,49.59072,68.19334,49.10903,49.17788,1667.873099,713.9814831
502,"Binghamton, NY","New York","Northeast",2013,227,344297,65.93144872,"REDACTED","REDACTED","REDACTED","REDACTED",471.5528504,356.988447,4.5750341,6.0441421,45.30551,18.876171972,0.9254891,39.18590833,12.89257603,0.9032625,9.2659496,9.738713,16.809124121,10.5946812,44.718092,10.456631,9.472985,15.86576008,10.3323318,44.022424,26.3426832,42.41773,66.06953,47.3145,45.07792,27.06957,44.01355,67.55832,48.36173,46.28306,1667.873099,713.9814831
